project_name,download_count,github_url,pypi_url,extensions
flask,175517021,https://github.com/pallets/flask,https://pypi.org/project/flask/,[]
more-itertools,174767042,https://github.com/more-itertools/more-itertools,https://pypi.org/project/more-itertools/,[]
werkzeug,174392979,https://github.com/pallets/werkzeug,https://pypi.org/project/werkzeug/,[]
isodate,172196652,https://github.com/gweis/isodate,https://pypi.org/project/isodate/,[]
regex,169389273,https://github.com/mrabarnett/mrab-regex,https://pypi.org/project/regex/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
msgpack,168529175,https://github.com/msgpack/msgpack-python,https://pypi.org/project/msgpack/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""ctypedef""]}]"
shellingham,165106958,https://github.com/sarugaku/shellingham,https://pypi.org/project/shellingham/,[]
mypy-extensions,164837935,https://github.com/python/mypy_extensions,https://pypi.org/project/mypy-extensions/,[]
snowflake-connector-python,163907087,https://github.com/snowflakedb/snowflake-connector-python,https://pypi.org/project/snowflake-connector-python/,"[{""type"": ""Cython"", ""keywords"": [""cimport""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
google-cloud-storage,163746565,https://github.com/googleapis/python-storage,https://pypi.org/project/google-cloud-storage/,[]
proto-plus,163359301,https://github.com/googleapis/proto-plus-python,https://pypi.org/project/proto-plus/,[]
threadpoolctl,163208618,https://github.com/joblib/threadpoolctl,https://pypi.org/project/threadpoolctl/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""ctypedef""]}, {""type"": ""ctypes"", ""keywords"": [""WinDLL("", ""CDLL(""]}]"
pynacl,162133693,https://github.com/pyca/pynacl,https://pypi.org/project/pynacl/,"[{""type"": ""CFFI"", ""keywords"": [""ffi.new("", ""ffi.cdef("", ""FFI(""]}]"
opentelemetry-api,161588934,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-api/,[]
ptyprocess,161570791,https://github.com/pexpect/ptyprocess,https://pypi.org/project/ptyprocess/,[]
pexpect,161400368,https://github.com/pexpect/pexpect,https://pypi.org/project/pexpect/,[]
opentelemetry-exporter-otlp-proto-common,160959945,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-exporter-otlp-proto-common/,[]
tenacity,157958262,https://github.com/jd/tenacity,https://pypi.org/project/tenacity/,[]
psycopg2-binary,157452168,https://github.com/psycopg/psycopg2,https://pypi.org/project/psycopg2-binary/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
websocket-client,157349291,https://github.com/websocket-client/websocket-client,https://pypi.org/project/websocket-client/,[]
opentelemetry-exporter-otlp,153740215,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-exporter-otlp/,[]
decorator,151704150,,https://pypi.org/project/decorator/,[]
opentelemetry-semantic-conventions,150909075,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-semantic-conventions/,[]
coverage,148741554,https://github.com/coveragepy/coveragepy,https://pypi.org/project/coverage/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
sortedcontainers,144053708,,https://pypi.org/project/sortedcontainers/,[]
azure-core,139946291,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-core/,[]
azure-identity,138268711,https://github.com/Azure/azure-sdk-for-python,https://pypi.org/project/azure-identity/,[]
python-multipart,138227928,https://github.com/Kludex/python-multipart,https://pypi.org/project/python-multipart/,[]
networkx,137665950,https://github.com/networkx/networkx,https://pypi.org/project/networkx/,"[{""type"": ""CFFI"", ""keywords"": [""FFI(""]}]"
wcwidth,137099990,https://github.com/jquast/wcwidth,https://pypi.org/project/wcwidth/,[]
msal,136859125,https://github.com/AzureAD/microsoft-authentication-library-for-python,https://pypi.org/project/msal/,[]
async-timeout,135972032,https://github.com/aio-libs/async-timeout,https://pypi.org/project/async-timeout/,[]
websockets,134493413,https://github.com/python-websockets/websockets,https://pypi.org/project/websockets/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
bcrypt,133668767,https://github.com/pyca/bcrypt,https://pypi.org/project/bcrypt/,[]
dnspython,132429900,https://github.com/rthalley/dnspython,https://pypi.org/project/dnspython/,"[{""type"": ""ctypes"", ""keywords"": [""WinDLL(""]}]"
gitpython,132204281,https://github.com/gitpython-developers/GitPython,https://pypi.org/project/gitpython/,[]
huggingface-hub,132103093,https://github.com/huggingface/huggingface_hub,https://pypi.org/project/huggingface-hub/,[]
openai,130463656,https://github.com/openai/openai-python,https://pypi.org/project/openai/,[]
asn1crypto,127390423,https://github.com/wbond/asn1crypto,https://pypi.org/project/asn1crypto/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
google-cloud-core,126815531,https://github.com/googleapis/python-cloud-core,https://pypi.org/project/google-cloud-core/,[]
poetry-core,125715954,https://github.com/python-poetry/poetry-core,https://pypi.org/project/poetry-core/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
joblib,124891830,https://github.com/joblib/joblib,https://pypi.org/project/joblib/,"[{""type"": ""Cython"", ""keywords"": [""cimport""]}]"
smmap,124208564,https://github.com/gitpython-developers/smmap,https://pypi.org/project/smmap/,[]
annotated-doc,123818954,https://github.com/fastapi/annotated-doc,https://pypi.org/project/annotated-doc/,[]
deprecated,121874960,https://github.com/laurent-laporte-pro/deprecated,https://pypi.org/project/deprecated/,[]
matplotlib,121861492,https://github.com/matplotlib/matplotlib,https://pypi.org/project/matplotlib/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""PyBind11"", ""keywords"": [""PYBIND11_MODULE"", ""pybind11/pybind11.h""]}]"
gitdb,121834911,https://github.com/gitpython-developers/gitdb,https://pypi.org/project/gitdb/,[]
hatchling,118621875,https://github.com/pypa/hatch,https://pypi.org/project/hatchling/,[]
tabulate,118236053,https://github.com/astanin/python-tabulate,https://pypi.org/project/tabulate/,[]
distro,115993488,https://github.com/python-distro/distro,https://pypi.org/project/distro/,[]
itsdangerous,115861031,https://github.com/pallets/itsdangerous,https://pypi.org/project/itsdangerous/,[]
fonttools,115803970,https://github.com/fonttools/fonttools,https://pypi.org/project/fonttools/,[]
chardet,115584620,https://github.com/chardet/chardet,https://pypi.org/project/chardet/,[]
keyring,115426883,https://github.com/jaraco/keyring,https://pypi.org/project/keyring/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
paramiko,114629014,https://github.com/paramiko/paramiko,https://pypi.org/project/paramiko/,[]
google-resumable-media,113872165,https://github.com/googleapis/google-resumable-media-python,https://pypi.org/project/google-resumable-media/,[]
prompt-toolkit,113273238,https://github.com/prompt-toolkit/python-prompt-toolkit,https://pypi.org/project/prompt-toolkit/,[]
transformers,113114587,https://github.com/huggingface/transformers,https://pypi.org/project/transformers/,[]
ruamel-yaml,111744249,,https://pypi.org/project/ruamel-yaml/,[]
redis,111606124,https://github.com/redis/redis-py,https://pypi.org/project/redis/,[]
google-api-python-client,111161275,https://github.com/googleapis/google-api-python-client,https://pypi.org/project/google-api-python-client/,[]
google-crc32c,110834003,https://github.com/googleapis/python-crc32c,https://pypi.org/project/google-crc32c/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
zstandard,110579147,https://github.com/indygreg/python-zstandard,https://pypi.org/project/zstandard/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""Rust"", ""keywords"": [""#[pyfunction]""]}, {""type"": ""CFFI"", ""keywords"": [""ffi.cdef("", ""FFI("", ""ffi.new(""]}]"
cloudpickle,110339765,https://github.com/cloudpipe/cloudpickle,https://pypi.org/project/cloudpickle/,[]
langsmith,110135959,https://github.com/langchain-ai/langsmith-sdk,https://pypi.org/project/langsmith/,[]
dill,109274090,https://github.com/uqfoundation/dill,https://pypi.org/project/dill/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
kiwisolver,109235718,https://github.com/nucleic/kiwi,https://pypi.org/project/kiwisolver/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
secretstorage,106939815,https://github.com/mitya57/secretstorage,https://pypi.org/project/secretstorage/,[]
google-cloud-bigquery,106579273,https://github.com/googleapis/python-bigquery,https://pypi.org/project/google-cloud-bigquery/,[]
blinker,106347249,https://github.com/pallets-eco/blinker,https://pypi.org/project/blinker/,[]
jaraco-classes,106283117,https://github.com/jaraco/jaraco.classes,https://pypi.org/project/jaraco-classes/,[]
google-auth-oauthlib,106236182,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib,https://pypi.org/project/google-auth-oauthlib/,[]
setuptools-scm,105971369,https://github.com/pypa/setuptools-scm,https://pypi.org/project/setuptools-scm/,[]
backoff,105902605,https://github.com/litl/backoff,https://pypi.org/project/backoff/,[]
pyproject-hooks,105394526,https://github.com/pypa/pyproject-hooks,https://pypi.org/project/pyproject-hooks/,[]
typer,105355422,https://github.com/fastapi/typer,https://pypi.org/project/typer/,[]
alembic,105271662,https://github.com/sqlalchemy/alembic,https://pypi.org/project/alembic/,[]
pydantic-settings,104304813,https://github.com/pydantic/pydantic-settings,https://pypi.org/project/pydantic-settings/,[]
fastjsonschema,103772619,https://github.com/horejsek/python-fastjsonschema,https://pypi.org/project/fastjsonschema/,[]
build,103291831,https://github.com/pypa/build,https://pypi.org/project/build/,[]
jeepney,102807944,,https://pypi.org/project/jeepney/,[]
rapidfuzz,102526197,https://github.com/rapidfuzz/RapidFuzz,https://pypi.org/project/rapidfuzz/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""ctypedef""]}]"
cycler,100220498,https://github.com/matplotlib/cycler,https://pypi.org/project/cycler/,[]
defusedxml,99941823,https://github.com/tiran/defusedxml,https://pypi.org/project/defusedxml/,[]
ruff,99431745,https://github.com/astral-sh/ruff,https://pypi.org/project/ruff/,"[{""type"": ""ctypes"", ""keywords"": [""WinDLL(""]}, {""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_""]}]"
jiter,99072263,https://github.com/pydantic/jiter,https://pypi.org/project/jiter/,"[{""type"": ""Rust"", ""keywords"": [""#[pyfunction]""]}]"
google-cloud-secret-manager,98896753,https://github.com/googleapis/google-cloud-python,https://pypi.org/project/google-cloud-secret-manager/,[]
uritemplate,98583191,https://github.com/python-hyper/uritemplate,https://pypi.org/project/uritemplate/,[]
google-cloud-batch,98256074,https://github.com/googleapis/google-cloud-python,https://pypi.org/project/google-cloud-batch/,[]
pytest-cov,98255139,https://github.com/pytest-dev/pytest-cov,https://pypi.org/project/pytest-cov/,[]
pyzmq,97969002,https://github.com/zeromq/pyzmq,https://pypi.org/project/pyzmq/,"[{""type"": ""Cython"", ""keywords"": [""ctypedef"", ""cpdef"", ""cimport""]}, {""type"": ""CFFI"", ""keywords"": [""ffi.cdef("", ""FFI("", ""ffi.new(""]}]"
msal-extensions,97930644,https://github.com/AzureAD/microsoft-authentication-extensions-for-python,https://pypi.org/project/msal-extensions/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
orjson,97660673,https://github.com/ijl/orjson,https://pypi.org/project/orjson/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_"", ""PyModuleDef""]}]"
google-auth-httplib2,97235371,https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2,https://pypi.org/project/google-auth-httplib2/,[]
tzlocal,96389810,https://github.com/regebro/tzlocal,https://pypi.org/project/tzlocal/,[]
